order_id,order_date,customer_id,sales_channel,payment_method
1001,2025-03-06,17,Marketplace,Net Banking
1002,2025-10-09,22,Store,Net Banking
1003,2025-04-19,70,Marketplace,Card
1004,2025-06-09,52,Marketplace,Cash
1005,2025-08-13,67,Store,UPI
1006,2025-05-07,29,Online,Cash
1007,2025-01-11,76,Marketplace,Card
1008,2025-10-29,29,Online,UPI
1009,2025-12-29,81,Online,Card
1010,2025-02-04,5,Store,UPI
1011,2025-09-21,31,Store,Net Banking
1012,2025-04-20,70,Online,Net Banking
1013,2025-05-05,61,Store,Card
1014,2025-02-18,13,Marketplace,Net Banking
1015,2025-07-01,55,Store,Net Banking
1016,2025-01-28,87,Marketplace,UPI
1017,2025-02-01,52,Marketplace,Cash
1018,2025-02-25,32,Online,Card
1019,2025-10-02,58,Online,Net Banking
1020,2025-04-04,36,Store,Card
1021,2025-02-08,57,Marketplace,UPI
1022,2025-01-26,84,Marketplace,UPI
1023,2025-02-17,97,Online,Card
1024,2025-07-28,63,Store,Card
1025,2025-07-25,8,Online,Net Banking
1026,2025-01-02,50,Store,Net Banking
1027,2025-05-27,55,Marketplace,Net Banking
1028,2025-03-21,25,Store,Card
1029,2025-01-30,75,Marketplace,UPI
1030,2025-06-10,8,Online,Net Banking
1031,2025-09-15,68,Online,UPI
1032,2025-09-18,11,Online,UPI
1033,2025-11-01,9,Marketplace,Card
1034,2025-07-26,16,Marketplace,Card
1035,2025-10-24,77,Online,UPI
1036,2025-08-03,85,Marketplace,Cash
1037,2025-05-14,27,Marketplace,Cash
1038,2025-05-03,34,Store,Card
1039,2025-12-10,83,Store,Net Banking
1040,2025-06-11,97,Online,UPI
1041,2025-08-23,80,Marketplace,UPI
1042,2025-02-07,69,Online,Cash
1043,2025-03-09,45,Online,Card
1044,2025-07-09,37,Online,Net Banking
1045,2025-10-06,91,Store,UPI
1046,2025-12-08,71,Store,UPI
1047,2025-03-10,34,Online,UPI
1048,2025-10-11,20,Store,Cash
1049,2025-11-06,27,Marketplace,Cash
1050,2025-04-15,88,Marketplace,Cash
1051,2025-09-16,63,Store,UPI
1052,2025-02-17,82,Store,Cash
1053,2025-01-23,1,Store,Card
1054,2025-11-23,34,Online,Net Banking
1055,2025-10-10,91,Store,UPI
1056,2025-02-27,10,Marketplace,Card
1057,2025-10-07,5,Store,Card
1058,2025-08-09,17,Online,Cash
1059,2025-07-06,6,Store,Card
1060,2025-12-16,32,Marketplace,UPI
1061,2025-07-01,100,Marketplace,Net Banking
1062,2025-11-14,96,Online,Card
1063,2025-03-25,23,Store,UPI
1064,2025-04-02,95,Store,Net Banking
1065,2025-12-09,95,Online,Cash
1066,2025-03-23,90,Online,Net Banking
1067,2025-01-20,61,Online,Card
1068,2025-08-24,45,Store,Card
1069,2025-04-25,4,Marketplace,Card
1070,2025-07-24,43,Store,UPI
1071,2025-05-23,45,Marketplace,Net Banking
1072,2025-12-14,69,Store,UPI
1073,2025-03-01,34,Online,Cash
1074,2025-01-20,14,Marketplace,Net Banking
