order_detail_id,order_id,product_id,quantity,discount_pct,shipping_cost
1,1001,16,5,5.0,77.02
2,1001,30,2,0.0,86.75
3,1001,8,7,20.0,161.54
4,1002,11,6,0.0,195.52
5,1002,21,8,10.0,127.37
6,1003,32,7,10.0,125.16
7,1003,2,4,0.0,154.17
8,1003,6,1,0.0,84.71
9,1004,42,1,20.0,44.72
10,1004,44,3,0.0,187.33
11,1004,31,7,0.0,30.41
12,1004,19,1,10.0,149.22
13,1004,35,6,10.0,86.38
14,1005,33,2,0.0,244.27
15,1005,29,7,0.0,202.83
16,1005,36,6,10.0,235.96
17,1005,18,3,0.0,158.57
18,1006,33,8,10.0,125.11
19,1006,3,3,0.0,234.21
20,1006,9,6,0.0,110.38
21,1006,22,5,10.0,97.37
22,1007,35,1,0.0,96.19
23,1007,32,2,5.0,154.25
24,1007,37,1,10.0,129.16
25,1007,20,4,15.0,31.81
26,1007,31,8,0.0,140.57
27,1008,40,2,0.0,24.36
28,1008,25,6,5.0,54.83
29,1008,10,4,5.0,135.42
30,1008,16,8,20.0,215.13
31,1008,3,1,15.0,51.76
32,1008,37,4,10.0,94.76
33,1009,31,6,10.0,101.49
34,1009,34,5,10.0,131.36
35,1009,25,4,0.0,148.36
36,1009,21,4,0.0,197.37
37,1009,12,4,15.0,182.15
38,1009,30,6,5.0,100.22
39,1010,18,7,20.0,99.38
40,1010,19,3,0.0,29.68
41,1010,8,2,0.0,232.52
42,1010,37,5,15.0,130.19
43,1010,35,4,20.0,143.87
44,1010,25,5,0.0,45.12
45,1011,38,4,0.0,43.05
46,1011,16,6,15.0,128.65
47,1011,43,3,0.0,241.84
48,1011,4,3,5.0,170.17
49,1011,34,8,5.0,169.62
50,1011,15,5,0.0,85.65
51,1012,6,4,10.0,189.9
52,1013,12,7,20.0,60.43
53,1014,26,8,0.0,235.42
54,1015,3,2,0.0,85.45
55,1015,1,8,0.0,215.74
56,1015,20,8,0.0,64.35
57,1016,22,3,15.0,125.55
58,1017,12,5,10.0,175.11
59,1017,1,4,0.0,160.52
60,1017,22,7,20.0,118.37
61,1018,6,2,0.0,245.79
62,1018,26,8,0.0,235.24
63,1018,43,1,0.0,108.22
64,1019,18,1,0.0,170.35
65,1019,22,4,0.0,173.59
66,1019,20,8,0.0,56.73
67,1019,38,5,15.0,47.01
68,1020,24,4,0.0,129.98
69,1020,40,8,15.0,247.43
70,1020,15,6,5.0,181.45
71,1021,35,2,10.0,122.75
72,1021,43,6,0.0,230.97
73,1021,14,2,0.0,210.62
74,1021,16,4,10.0,143.43
75,1022,21,8,0.0,176.47
76,1022,34,8,0.0,226.74
77,1023,4,7,5.0,149.7
78,1023,30,8,15.0,205.59
79,1023,9,1,5.0,78.53
80,1023,33,1,15.0,70.12
81,1024,3,7,0.0,181.09
82,1025,4,7,0.0,196.86
83,1025,5,7,0.0,248.36
84,1025,31,7,5.0,220.01
85,1025,3,7,5.0,38.46
86,1025,19,3,15.0,217.87
87,1026,12,7,10.0,49.29
88,1027,1,5,5.0,174.9
89,1027,2,7,10.0,107.23
90,1028,16,6,0.0,83.4
91,1028,30,2,0.0,206.18
92,1029,40,2,0.0,156.61
93,1029,2,8,10.0,174.57
94,1029,16,1,0.0,190.32
95,1029,14,7,5.0,73.9
96,1030,4,5,0.0,207.63
97,1030,9,6,10.0,157.52
98,1031,21,7,0.0,83.29
99,1031,16,3,15.0,176.11
100,1031,20,8,0.0,243.63
101,1031,10,7,20.0,140.63
102,1031,34,7,5.0,54.32
103,1031,15,7,0.0,193.52
104,1032,16,8,0.0,149.35
105,1032,15,7,10.0,141.9
106,1032,20,7,0.0,78.65
107,1032,10,6,15.0,38.19
108,1033,24,1,0.0,106.75
109,1033,6,1,20.0,36.74
110,1033,35,4,5.0,68.04
111,1033,13,6,0.0,240.11
112,1034,14,4,15.0,46.98
113,1035,16,4,10.0,93.97
114,1035,39,5,5.0,127.24
115,1035,14,6,0.0,80.16
116,1035,26,8,5.0,42.68
117,1036,31,1,10.0,218.74
118,1036,21,3,0.0,79.98
119,1036,14,7,0.0,55.05
120,1036,24,6,0.0,107.36
121,1036,43,4,5.0,146.65
122,1036,27,6,0.0,195.57
123,1037,42,6,0.0,52.19
124,1037,32,8,0.0,230.89
125,1037,30,1,10.0,27.78
126,1037,11,2,20.0,173.69
127,1038,27,3,20.0,165.06
128,1039,10,1,0.0,136.32
129,1040,4,8,15.0,132.21
130,1040,40,1,10.0,146.88
131,1040,41,1,0.0,141.77
132,1041,35,7,20.0,236.13
133,1041,19,3,0.0,231.15
134,1041,2,3,0.0,64.14
135,1042,17,6,5.0,125.57
136,1042,23,4,15.0,71.95
137,1042,18,2,15.0,248.09
138,1042,26,1,0.0,113.21
139,1042,6,7,10.0,129.48
140,1043,1,2,10.0,231.41
141,1043,11,4,0.0,227.29
142,1043,6,8,0.0,30.71
143,1043,32,2,15.0,232.88
144,1043,28,1,0.0,233.62
145,1043,22,6,0.0,241.14
146,1044,10,4,10.0,211.97
147,1044,26,7,15.0,226.2
148,1044,5,6,5.0,193.79
149,1044,20,3,20.0,247.35
150,1044,11,2,10.0,191.46
151,1045,4,4,20.0,37.48
152,1045,7,7,20.0,95.07
153,1045,28,5,20.0,248.29
154,1046,15,7,0.0,176.33
155,1046,23,7,0.0,197.6
156,1046,36,5,20.0,76.68
157,1046,25,2,0.0,81.63
158,1047,41,6,0.0,41.05
159,1047,10,5,5.0,102.78
160,1047,25,5,0.0,50.48
161,1047,21,3,5.0,123.23
162,1048,33,6,10.0,41.4
163,1048,27,6,20.0,108.6
164,1048,7,5,5.0,109.19
165,1048,2,2,15.0,227.26
166,1048,6,4,10.0,139.85
167,1049,25,8,0.0,34.55
168,1049,11,7,0.0,116.85
169,1049,9,8,20.0,37.69
170,1049,18,5,0.0,185.81
171,1049,20,8,10.0,161.83
172,1049,41,8,0.0,51.16
173,1050,26,6,20.0,162.64
174,1051,29,3,0.0,93.75
175,1051,22,4,5.0,92.26
176,1051,28,7,0.0,87.03
177,1052,41,5,20.0,200.75
178,1052,32,6,0.0,234.38
179,1052,37,4,10.0,249.37
180,1052,16,3,15.0,196.55
181,1052,21,1,15.0,126.17
182,1052,25,4,5.0,203.47
183,1053,5,5,15.0,55.45
184,1053,27,7,20.0,106.71
185,1053,32,8,10.0,130.22
186,1053,9,7,10.0,136.52
187,1053,20,7,10.0,28.46
188,1053,16,6,15.0,225.97
189,1054,39,6,0.0,168.81
190,1054,41,1,10.0,246.23
191,1054,6,7,20.0,96.27
192,1054,7,7,0.0,22.43
193,1054,16,5,0.0,137.46
194,1055,36,6,5.0,126.5
195,1055,38,3,0.0,249.47
196,1055,37,8,0.0,87.95
197,1055,15,2,0.0,211.2
198,1055,29,3,0.0,91.73
199,1056,14,8,0.0,120.78
200,1056,34,8,0.0,35.45
201,1056,31,1,20.0,183.48
202,1056,23,1,20.0,98.91
203,1057,44,3,15.0,76.1
204,1058,36,6,10.0,118.06
205,1058,11,8,0.0,203.48
206,1059,12,4,5.0,156.21
207,1059,44,7,0.0,182.09
208,1059,41,4,0.0,193.03
209,1059,28,2,10.0,43.4
210,1059,26,3,0.0,94.98
211,1059,2,8,0.0,80.34
212,1060,34,7,10.0,110.29
213,1060,41,2,0.0,100.96
214,1060,21,8,10.0,59.68
215,1060,39,5,10.0,155.74
216,1061,9,3,0.0,179.49
