product_id,product_name,category,sub_category,unit_cost,unit_price
1,Laptop 1,Electronics,Laptop,12563.42,17815.81
2,Laptop 2,Electronics,Laptop,24623.35,35049.35
3,Monitor 1,Electronics,Monitor,2684.81,3769.45
4,Monitor 2,Electronics,Monitor,18788.07,23446.09
5,Keyboard 1,Electronics,Keyboard,16286.66,20488.28
6,Keyboard 2,Electronics,Keyboard,32403.61,46183.72
7,Mouse 1,Electronics,Mouse,7842.61,10036.29
8,Mouse 2,Electronics,Mouse,26937.31,31580.63
9,Headphones 1,Electronics,Headphones,28798.73,42392.26
10,Headphones 2,Electronics,Headphones,14160.53,16659.52
11,Smartphone 1,Electronics,Smartphone,31977.14,44028.43
12,Smartphone 2,Electronics,Smartphone,25183.42,31102.8
13,Office Chair 1,Furniture,Office Chair,17573.25,26427.94
14,Office Chair 2,Furniture,Office Chair,22571.25,27246.85
15,Desk 1,Furniture,Desk,5059.14,7325.61
16,Desk 2,Furniture,Desk,18956.41,27464.15
17,Bookshelf 1,Furniture,Bookshelf,15109.5,20902.68
18,Bookshelf 2,Furniture,Bookshelf,12797.48,19822.4
19,Table Lamp 1,Furniture,Table Lamp,5013.94,6755.81
20,Table Lamp 2,Furniture,Table Lamp,26501.22,39604.51
21,Filing Cabinet 1,Furniture,Filing Cabinet,5518.88,6699.88
22,Filing Cabinet 2,Furniture,Filing Cabinet,23880.75,33159.94
23,Notebook 1,Office Supplies,Notebook,13589.9,18867.61
24,Notebook 2,Office Supplies,Notebook,16488.14,20619.5
25,Printer Paper 1,Office Supplies,Printer Paper,19452.26,29703.06
26,Printer Paper 2,Office Supplies,Printer Paper,23873.86,28548.86
27,Pen Set 1,Office Supplies,Pen Set,30990.64,44947.31
28,Pen Set 2,Office Supplies,Pen Set,26947.24,34656.04
29,Stapler 1,Office Supplies,Stapler,10413.8,12634.68
30,Stapler 2,Office Supplies,Stapler,312.94,450.27
31,Calculator 1,Office Supplies,Calculator,25244.89,38845.71
32,Calculator 2,Office Supplies,Calculator,26716.28,36149.07
33,Whiteboard 1,Office Supplies,Whiteboard,3903.1,5464.81
34,Whiteboard 2,Office Supplies,Whiteboard,29490.09,39902.01
35,Backpack 1,Accessories,Backpack,7122.11,9255.65
36,Backpack 2,Accessories,Backpack,5821.91,8915.67
37,USB Cable 1,Accessories,USB Cable,32300.71,49013.01
38,USB Cable 2,Accessories,USB Cable,21043.27,28312.51
39,Webcam 1,Accessories,Webcam,4093.0,5301.22
40,Webcam 2,Accessories,Webcam,34489.18,50792.56
41,Phone Stand 1,Accessories,Phone Stand,8532.94,10635.02
42,Phone Stand 2,Accessories,Phone Stand,19944.02,23563.92
43,Power Bank 1,Accessories,Power Bank,25670.38,37899.99
44,Power Bank 2,Accessories,Power Bank,34233.86,46663.57
